model_name,hp_layers,hp_units,hp_activation,hp_optimizer,hp_loss,hp_epochs,hp_batch_size,obj_training_time,obj_total_layers,obj_total_nodes,obj_loss,obj_accuracy,obj_binary_accuracy,obj_cosine_similarity,obj_true_positives,obj_true_negatives,obj_false_positives,obj_false_negatives,obj_mean_squared_error,obj_recall,obj_precision,obj_auc,obj_sensitivity,obj_specificity
model_1,4,128,relu,adam,binary_crossentropy,3,16,1.071230173110962,5,512,0.03207504749298096,0.0,0.9912280440330505,0.6666666865348816,75.0,38.0,0.0,1.0,0.006722200196236372,0.9868420958518982,1.0,1.0,1.0,1.0
model_2,8,32,relu,sgd,cosine_similarity,4,32,0.49681878089904785,9,256,-0.6666666865348816,0.0,0.3333333432674408,0.6666666865348816,0.0,38.0,0.0,76.0,0.252185583114624,0.0,0.0,0.6835180521011353,0.0,0.34210526943206787
model_3,16,8,relu,rmsprop,binary_crossentropy,6,64,1.0756893157958984,17,128,0.6493325233459473,0.0,0.6666666865348816,0.6666666865348816,76.0,0.0,38.0,0.0,0.22828298807144165,1.0,0.6666666865348816,0.5,0.0,0.0
model_4,3,32,sigmoid,adam,cosine_similarity,7,16,0.9617440700531006,4,96,-0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816,76.0,0.0,38.0,0.0,0.22225148975849152,1.0,0.6666666865348816,0.6172091364860535,0.1184210553765297,0.1315789520740509
model_5,6,128,sigmoid,sgd,cosine_similarity,8,32,0.5334823131561279,7,768,-0.6666666865348816,0.0,0.3333333432674408,0.6666666865348816,0.0,38.0,0.0,76.0,0.26912596821784973,0.0,0.0,0.5,0.0,0.0
model_6,9,32,sigmoid,rmsprop,binary_crossentropy,9,64,1.0206730365753174,10,288,0.6412325501441956,0.0,0.6666666865348816,0.6666666865348816,76.0,0.0,38.0,0.0,0.2244066298007965,1.0,0.6666666865348816,0.5,0.0,0.0
model_7,5,8,tanh,adam,binary_focal_crossentropy,10,16,1.1481750011444092,6,40,0.023475592955946922,0.0,0.9649122953414917,0.6666666865348816,74.0,36.0,2.0,2.0,0.04377621039748192,0.9736841917037964,0.9736841917037964,0.9963642358779907,0.9868420958518982,1.0
model_8,10,128,tanh,sgd,binary_focal_crossentropy,11,32,0.8172461986541748,11,1280,0.017753615975379944,0.0,0.9824561476707458,0.6666666865348816,74.0,38.0,0.0,2.0,0.04462362453341484,0.9736841917037964,1.0,0.9993074536323547,1.0,1.0
model_9,15,2,tanh,rmsprop,binary_focal_crossentropy,12,64,1.2967650890350342,16,30,0.1344880908727646,0.0,0.8771929740905762,0.6666666865348816,71.0,29.0,9.0,5.0,0.2131045162677765,0.9342105388641357,0.887499988079071,0.88434898853302,0.44736841320991516,0.7631579041481018
model_10,2,2,sigmoid,sgd,binary_crossentropy,5,32,0.4208507537841797,3,4,0.6535967588424683,0.0,0.6666666865348816,0.6666666865348816,76.0,0.0,38.0,0.0,0.2303563356399536,1.0,0.6666666865348816,0.6469875574111938,0.05263157933950424,0.07894736528396606
